Group,Strategy,CAGR,Sharpe Ratio,Volatility (Ann.),Max Drawdown,Total Return
Group A (Final Pool),Night Only,0.4430404973319271,1.7862491248708872,0.19407082956427157,-0.21974762855469457,2.9794465668324537
Group A (Final Pool),Day Only,0.016399706641641032,0.06421795822828213,0.2884542794791741,-0.31041239656989217,0.06317345999906454
Group A (Final Pool),Buy & Hold,0.45673308739553264,1.1603268057935672,0.34048582020968876,-0.3946585725136702,3.1235216160645978
Group B (Toxic Pool),Night Only,0.7652966325544626,1.7016780019490074,0.3454060456165586,-0.5002214286176871,27.993249046723886
Group B (Toxic Pool),Day Only,-0.19088843579369463,-0.26840898421438214,0.4902639477449357,-0.8696228585328134,-0.7149071509226774
Group B (Toxic Pool),Buy & Hold,0.3993969521657459,0.7764261218111479,0.6204197901035127,-0.8565275408634285,6.322207970492996
Group C (SPY Benchmark),Night Only,0.0857930516002301,0.3835502849207088,0.13717811593140344,-0.29413528298988717,0.6284976417214372
Group C (SPY Benchmark),Day Only,0.058903027170450484,0.19377339662512708,0.1534357267513478,-0.1434911503300353,0.40366367587081253
Group C (SPY Benchmark),Buy & Hold,0.14974954922012462,0.5863405640910919,0.20821865443413817,-0.33717261609756727,1.28586298592566
