Ticker,Train_Start,Train_Days,Train_Alpha_Delayed,Test_Alpha_Delayed,Train_Alpha_NoDelay,Test_Alpha_NoDelay,Win_Train_Delayed,Win_Test_Delayed,Win_Train_NoDelay,Win_Test_NoDelay
SHOP,2023-01-03,502,-1.1503082069240569,-0.5850295997606335,-1.6552103053171416,-0.032672506807264634,False,False,False,False
LRCX,2023-01-03,502,-0.6721847305374036,-1.1423201625376214,-0.3645569447346664,-1.1080179133633778,False,False,False,False
ABNB,2023-01-03,502,-0.6745407152614551,0.11256615943737791,-0.5212631500900806,-0.014158081697514313,False,True,False,False
GLW,2023-01-03,502,-0.5659738433295155,-0.9048380935131357,-0.5468680678735958,-0.8502566595948269,False,False,False,False
NVO,2023-01-03,502,-0.013244362106672014,0.2705985997817051,-0.07574879851170624,0.12874940683774694,False,True,False,True
SIVR,2023-01-03,502,0.07019616985609733,-0.8450528210030199,-0.15649154344153215,-0.878987416261495,True,False,False,False
V,2023-01-03,502,-0.4789229431670823,-0.13161809994530405,-0.49846067380939263,-0.015860259078217975,False,False,False,False
FI,2023-01-03,502,-0.9272425194357006,0.6183662658601318,-0.8628507986229688,0.7540713342256488,False,True,False,True
GRAB,2023-01-03,502,-0.45145287881463914,0.36417036579958695,0.10882276440357241,0.5148271997021192,False,True,True,True
HOOD,2023-01-03,502,-3.4865732451325675,-2.3801861852346677,-3.379060097599682,-1.7618065949342057,False,False,False,False
OKLO,2023-01-03,502,-0.39285691685337,-2.896459494873786,-1.097230770082106,-3.958478933727795,False,False,False,False
U,2023-01-03,502,0.14071235179470465,-0.8852404897231001,0.23582781169070066,-0.6763710539210295,True,False,True,False
POWI,2023-01-03,502,0.12135074334714091,0.3129683881716453,0.24997156924165675,0.27274892887126445,True,True,True,True
BE,2023-01-03,502,0.32290325859153723,-3.682276752047671,-0.3672651747694101,-3.6622806150987595,True,False,False,False
WWR,2023-01-03,502,3.0071085815301677,0.07511503105484296,0.42878431715877985,-0.3258605877948567,True,True,True,False
NVTS,2023-01-03,502,0.7555453148484029,-0.9036747040856432,-0.42075160180427895,0.8924977536992524,True,False,False,True
STX,2023-01-03,502,-0.778874833187116,-2.479814931624187,-0.6828904347767506,-2.408524464955547,False,False,False,False
TTD,2023-01-03,502,-1.28199986273693,0.5355451415105429,-1.6205035332994855,0.7253752544220583,False,True,False,True
QBTS,2023-01-03,502,-1.5631135502250464,-1.2415567024055203,-5.090574263939649,-1.991791802370452,False,False,False,False
MRVL,2023-01-03,502,-1.6456651917986185,0.2901337637953335,-1.491622849962726,-0.006894161049961767,False,True,False,False
CELH,2023-01-03,502,0.42850406259845264,-0.4311089743170309,-0.04355526904854734,-0.5400951904197095,True,False,False,False
LTBR,2023-01-03,502,1.3789123974173894,-1.9240401395329243,-0.101038027118034,-0.329836042713298,True,False,False,False
VOO,2023-01-03,502,-0.46295349077869563,-0.09418452183756143,-0.4311726899617716,0.042807003939723254,False,False,False,True
ANET,2023-01-03,502,-2.364760833987072,-0.25403180535409964,-2.740459057359106,-0.4452227089163743,False,False,False,False
DDOG,2023-01-03,502,-0.6813323248065157,-0.010553838072998145,-0.611148198051868,-0.2909646148338866,False,False,False,False
NVDA,2023-01-03,502,-7.06094232083551,-0.29348738674474006,-6.891477614434084,-0.3123918565320736,False,False,False,False
CEG,2023-01-03,502,-1.5480671498939116,-0.41523529949728055,-1.1509436160334339,-0.3190591839254411,False,False,False,False
IREN,2023-01-03,502,-5.384951831533314,-2.6457426527789702,-6.955207626806111,-3.141649533515752,False,False,False,False
NLR,2023-01-03,502,-0.23344003909256594,-0.3725579184629959,-0.4793450452018635,-0.6941743655318323,False,False,False,False
QCOM,2023-01-03,502,-0.5409609223547888,-0.24808040685855726,-0.2818632095140199,-0.11200555456799588,False,False,False,False
DUOL,2023-01-03,502,-3.3746449140465455,0.13040205140486483,-3.5459864249288673,-0.06786036270294604,False,True,False,False
ON,2023-01-03,502,-0.07878478922704413,0.028576368287268283,0.3798279482897762,0.016200921740086804,False,True,True,True
CIFR,2023-01-03,502,-3.630948858058941,-3.0408884274446857,-6.1457014046712555,-2.6106407322916185,False,False,False,False
CCJ,2023-01-03,502,-0.9850736886782854,-0.6655605316116666,-0.7288033604492283,-0.8572023839494012,False,False,False,False
GLD,2023-01-03,502,-0.16959346956565535,-0.46666908982742195,-0.21630619820528363,-0.4693625757843205,False,False,False,False
LUMN,2023-01-03,502,0.07374235979937804,-0.3885046072890299,-0.2998475959680028,-0.7718986212089065,True,False,False,False
MCD,2023-01-03,502,-0.016601931654800728,-0.1238873493383702,-0.12858543690189794,-0.01736303593435795,False,False,False,False
ACHR,2023-01-03,502,-3.8958754740402304,0.5455958739557243,-4.289284586460491,0.19458321481920615,False,True,False,True
FUBO,2023-01-03,502,1.6113168161798894,-1.1662841031445268,-0.01865923616201437,-0.9701467260313061,True,False,False,False
UAMY,2023-01-03,502,-2.5550953174766393,-2.1028228644670683,0.4532144812519747,-2.3404418764738986,False,False,True,False
AMD,2023-01-03,502,-0.42022750513047735,-0.9170127487220475,-0.4899295220481765,-0.7989326560866672,False,False,False,False
BND,2023-01-03,502,-0.01865235507672036,-0.04593905885615812,-0.00933619783788342,-0.022876776240024377,False,False,False,False
RXRX,2023-01-03,502,0.6368056756391209,0.45834927842199924,0.5376316480008334,0.35781433293634957,True,True,True,True
NET,2023-01-03,502,-1.1353714602800462,-0.708005057205219,-1.5553001709515943,-0.8769834684974084,False,False,False,False
IBM,2023-01-03,502,-0.6107405405023407,-0.5105167934227396,-0.7760878394749764,-0.5022018728107669,False,False,False,False
TSLA,2023-01-03,502,-1.4928682375317641,-0.24045446668584625,-2.8713754349003366,0.06402368420327575,False,False,False,True
DOCN,2023-01-03,502,-0.41326307475879664,-0.08496971918110496,-0.16588680587323035,-0.6133880049646551,False,False,False,False
VST,2023-01-03,502,-5.306422452524753,-0.034906656555468096,-4.941014465813901,0.47637913411988175,False,False,False,True
IONQ,2023-01-03,502,-10.37175596118233,0.34132988962417676,-10.530403351953415,-0.5825381348611929,False,True,False,False
UUUU,2023-01-03,502,0.6461650203618059,-1.5836886482283334,0.4842703076741761,-1.2379628332641275,True,False,True,False
REMX,2023-01-03,502,0.4382815172110702,-0.7412904383992525,0.23353942057152743,-0.7904663849847757,True,False,True,False
HIMS,2023-01-03,502,-2.008609107806515,-0.8776988005377495,-2.3659838265766826,-0.004326834529904566,False,False,False,False
UPST,2023-01-03,502,-3.546382050467041,0.25487126649423375,-4.13775959203183,0.13795525464093394,False,True,False,True
SOFI,2023-01-03,502,-2.1818416897258954,-0.6613341705672575,-2.562592141618724,-0.46714840124075474,False,False,False,False
GOOG,2023-01-03,502,-1.0309332690949082,-0.6109204716171164,-0.9136606836178738,-0.6694960006409585,False,False,False,False
CRWD,2023-01-03,502,-2.2552308313749787,-0.4412406068381165,-2.067101965216374,-0.2870731907562454,False,False,False,False
TSM,2023-01-03,502,-1.3798113460916435,-0.4408012089663407,-1.1589716848774563,0.01832936569036403,False,False,False,True
BROS,2023-01-03,502,-0.8751063103020287,0.20283462784361728,-0.6244637940248052,-0.27273575552523377,False,True,False,False
EOSE,2023-01-03,502,-1.193878334421194,-1.9362426248238815,-1.747812521509952,0.0745125024043265,False,False,False,True
LEU,2023-01-03,502,-0.31302141715208776,-2.80863180790887,-0.09521818202569032,-2.5790780871272654,False,False,False,False
SOUN,2023-01-03,502,-12.804044401560736,0.020796592022936156,-13.744021765848226,0.017610932530992218,False,True,False,True
MGK,2023-01-03,502,-0.8607089507255925,-0.20665357540578033,-0.5862301673467156,-0.01206348944961988,False,False,False,False
KTOS,2023-01-03,502,-1.3842957974355867,-1.7117560969091015,-1.257275375788239,-1.7667995622393462,False,False,False,False
SNOW,2023-01-03,502,0.06668217883611471,-0.3011138069555581,0.6088361967020182,-0.5096315807199682,True,False,True,False
MSFT,2023-01-03,502,-0.5649622702494561,-0.1156654591975026,-0.17804699418074543,-0.15858013992754616,False,False,False,False
MP,2023-01-03,502,0.44675753167815,-2.314581023200031,0.051008383360835574,-1.9196107362688533,True,False,True,False
UBER,2023-01-03,502,-0.7968979802527256,-0.30876617562956343,-0.9339420308348274,-0.255036971007655,False,False,False,False
PANW,2023-01-03,502,-1.3652441993807989,-0.16049235204318557,-1.6561697936568218,0.02152841880710943,False,False,False,True
ONDS,2023-01-03,502,0.6414429777977351,-1.7907364612638976,-1.2900952573030628,-2.1818054402002116,True,False,False,False
ORCL,2023-01-03,502,-0.9401324663865709,-0.26695492865968773,-0.560576586198025,0.031952110878598505,False,False,False,True
SPOT,2023-01-03,502,-4.132885172340854,-0.2576544190762007,-4.0414329024676405,-0.2607284039484812,False,False,False,False
OSCR,2023-01-03,502,-4.187958542381521,-0.167521427340092,-3.9494604610258763,0.19760377141138918,False,False,False,True
APP,2023-01-03,502,-28.49019210610082,-1.0817758153741637,-27.02476849999675,-1.4390600515101943,False,False,False,False
ABAT,2023-01-03,502,6.8243704954102995,-0.8572900945885111,0.17918736860160145,-0.9471846058761935,True,False,True,False
ADBE,2023-01-03,502,-0.2177558159853561,0.047310653585716844,-0.09780519545745125,0.252077531819216,False,True,False,True
PLTR,2023-01-03,502,-10.33293079005107,-1.5140104020024596,-10.865845104283796,-1.4974243088691268,False,False,False,False
OPEN,2023-01-03,502,0.2813127082962712,-3.508981616242532,-0.8030022910256474,-3.123160939388431,True,False,False,False
UNH,2023-01-03,502,0.1251339888626377,0.002472300163787744,0.1375003908001866,0.20733400846041528,True,True,True,True
AMZN,2023-01-03,502,-1.2216278262782467,0.06607460305752211,-0.989784349198529,-0.08657031285288164,False,True,False,False
TMDX,2023-01-03,502,0.8211036321944349,-0.8071519757909096,-0.2334135809613035,-1.12398997806781,True,False,False,False
SMR,2023-01-03,502,0.026573772136562646,0.29484590504798347,-0.6941214705890317,0.190973206244613,True,True,False,True
MU,2023-01-03,502,-0.39735025626050957,-1.6718865494816602,-0.5380515740469844,-2.0555693473626535,False,False,False,False
RENT,2023-01-03,502,2.3316365542636452,0.20019545398795213,0.03253231520873068,0.6945186338051482,True,True,True,True
REAL,2023-01-03,502,-8.948189137545608,-0.4002204454007192,-9.21327937284736,-0.5354777056169485,False,False,False,False
GME,2023-01-03,502,-0.9676693338681053,0.48564325315786694,-0.5454448851066425,0.20976703182066536,False,True,False,True
BIRD,2023-01-03,502,1.2412362578395055,0.6978321836965145,0.5900975575838404,0.5838163956600564,True,True,True,True
AMC,2023-01-03,502,2.085065017946973,0.4383726163409004,0.3504936709709865,0.08840852859201997,True,True,True,True
LCID,2023-01-03,502,1.142905312591391,0.5972680588039883,0.020595194340703227,0.0004795083035225023,True,True,True,True
BYND,2023-01-03,502,1.2244005633120216,0.31949382185833397,0.21084728474723824,-0.05798507654099139,True,True,True,False
CVNA,2023-01-03,502,-41.280927817468914,-1.1756759447081817,-41.864702171082754,-1.2265560751012128,False,False,False,False
BB,2023-01-03,502,0.037614715923703024,-0.5456381726457745,0.34097871428172444,-0.05738610228599694,True,False,True,False
BZFD,2023-01-03,502,-0.23545811820704576,0.5268786080773811,-0.6076436718132248,0.7635990708594829,False,True,False,True
AFRM,2023-01-03,502,-5.633285689856009,0.11103533587108871,-4.579134492461945,-0.04490547772615794,False,True,False,False
PTON,2023-01-03,502,-0.07146977083514716,0.13618230679521992,-0.5015311094633113,0.09869007439765476,False,True,False,True
BBBY,2023-01-03,502,0.6891792710582574,-0.26443486221094115,0.19698087475008397,-0.1900168159102582,True,False,True,False
DNA,2023-01-03,502,1.1910938565395552,-0.1154266731575867,0.7121894090075821,-0.45472799682709786,True,False,True,False
MARA,2023-01-03,502,-3.0564469686398943,0.545197341640774,-4.095427921055721,0.5307685606630927,False,True,False,True
KOSS,2023-01-03,502,-0.17466258466256424,0.7411201523413063,-0.9990464901378001,0.25289467254779796,False,True,False,True
CLOV,2023-01-03,502,-2.0332270327799953,0.4532453429565726,-1.776163764415179,-0.013208319288396497,False,True,False,False
PSNY,2023-01-03,502,1.6957091508227524,0.45318841957236233,-0.07183389297224418,0.9701459912883053,True,True,False,True
RIOT,2023-01-03,502,-1.6704589018049019,-0.5092650234793394,-1.54804648578621,0.01389806237285307,False,False,False,True
