Ticker,Alpha_Decay,Train_WinRate,Test_WinRate,Diff_WinRate,Test_BnH,Test_Strat,Diff_Avg_Trade,Test_Count,Diagnosis
ABAT,-7.691097264012798,0.7125,0.5074626865671642,-0.20503731343283582,0.9577934216176016,0.09106665301510253,-0.011038330426163478,67,Missed_Rally(嚴重踏空)
BE,-4.005180010639208,0.5098039215686274,0.5925925925925926,0.08278867102396514,3.7834829653859083,0.10120621333823698,-0.0006417155212205912,54,Missed_Rally(嚴重踏空)
OPEN,-3.8468978930050826,0.6204379562043796,0.4603174603174603,-0.1601204958869193,3.606918022322426,0.04133283761361484,-0.003350319185747518,63,Missed_Rally(嚴重踏空)
LTBR,-3.302952536950314,0.6917293233082706,0.5625,-0.12922932330827064,2.3215687942798238,0.39752865474689947,-0.001716865079004896,64,Alpha_Decay(單純超額報酬消失)
FUBO,-2.7846931113102205,0.5227272727272727,0.45614035087719296,-0.06658692185007975,0.9964539885526953,-0.17692230657763597,-0.009897469898617312,57,Missed_Rally(嚴重踏空)
MP,-2.761338554878181,0.46835443037974683,0.6181818181818182,0.14982738780207133,2.733984322268616,0.41940329906858564,0.006066816219750921,55,Alpha_Decay(單純超額報酬消失)
ONDS,-2.4616468863149237,0.5487804878048781,0.5166666666666667,-0.032113821138211374,2.2863495850791677,0.4661456765619789,0.003596360827728385,60,Alpha_Decay(單純超額報酬消失)
UUUU,-2.229853668590139,0.6417910447761194,0.5087719298245614,-0.13301911495155794,1.727112718179241,0.1434240699509075,-0.00027574426822431957,57,Missed_Rally(嚴重踏空)
NVTS,-1.6592200189340462,0.5422535211267606,0.44871794871794873,-0.09353557240881188,1.6275071780046089,0.7238324739189657,0.011728896229449169,78,Alpha_Decay(單純超額報酬消失)
TMDX,-1.6282556079853445,0.609271523178808,0.463768115942029,-0.14550340723677896,1.0541354301280546,0.24698345433714497,-0.0009407162638176434,69,Alpha_Decay(單純超額報酬消失)
DNA,-1.3099451722115871,0.5314685314685315,0.5641025641025641,0.03263403263403264,-0.05381606422352481,-0.1726673798955568,-0.0042450908795568345,78,Alpha_Decay(單純超額報酬消失)
REMX,-1.181349048677316,0.4523809523809524,0.5147058823529411,0.06232492997198874,0.8730642275329918,0.12999669606674602,0.0020318353271101537,68,Missed_Rally(嚴重踏空)
U,-1.0230967212049624,0.4304635761589404,0.5614035087719298,0.13093993261298942,1.0367196125164093,0.15433524310615154,0.0026919986198270566,57,Missed_Rally(嚴重踏空)
BBBY,-0.9553934486158717,0.5116279069767442,0.4578313253012048,-0.05379658167553941,0.13701067555269408,-0.12920350200492026,-0.0014583079869960774,83,Alpha_Decay(單純超額報酬消失)
SIVR,-0.9198981363675849,0.5777777777777777,0.6304347826086957,0.05265700483091795,1.0483700110446437,0.19866804453315612,0.002208662287852505,46,Missed_Rally(嚴重踏空)
CELH,-0.8592453113290897,0.5850340136054422,0.5737704918032787,-0.0112635218021635,0.5937498991980301,0.1630086504673931,0.0011718627685779013,61,Missed_Rally(嚴重踏空)
BB,-0.5832528885694775,0.5669291338582677,0.43103448275862066,-0.13589465109964705,0.15445024201046542,-0.3911879306353091,-0.009471300883968612,58,"WinRate_Crash(勝率崩盤), Heavy_Loss(虧損嚴重)"
LUMN,-0.4497691334284142,0.4863013698630137,0.4918032786885246,0.005501908825510882,0.5784312533855649,0.20240447975652875,0.0023932269055825413,61,Alpha_Decay(單純超額報酬消失)
SNOW,-0.36779598579167283,0.5555555555555556,0.4807692307692308,-0.0747863247863248,0.4304488947767393,0.1293350878211812,0.001242609500433633,52,Alpha_Decay(單純超額報酬消失)
