Ticker,count,mean,min
SOUN,11,-0.060508551695619375,-0.45812177718900626
CIFR,12,-0.03526831578353838,-0.21101656019267387
ONDS,11,-0.026849661843526763,-0.14507049005009562
POWI,9,-0.021333799647826866,-0.1971167360828061
HIMS,11,-0.018378383595569335,-0.12419354913137956
TMDX,9,-0.016723636141109534,-0.0506175855230348
RXRX,9,-0.014942768566240225,-0.0641672927661224
BROS,10,-0.014772637561954285,-0.05319467671533184
TSLA,12,-0.013185696077795265,-0.07891112766096832
NVTS,9,-0.012743781440031748,-0.15492049232113259
TTD,4,-0.0126932955385005,-0.05774234951825313
SOFI,10,-0.01220288474702298,-0.04036825066883842
REMX,10,-0.010393722881357814,-0.057133382161458336
DOCN,10,-0.009728574920057926,-0.05308783847174045
OPEN,8,-0.009500261532298307,-0.1585584878128159
PANW,8,-0.009445831189900531,-0.05081397866364545
OSCR,10,-0.009037577645153226,-0.0702674448889257
MP,8,-0.008413474219279814,-0.09646686199511388
CRWD,9,-0.00813584080359697,-0.025658704563529193
PLTR,10,-0.007939524427484163,-0.05779814512391292
LTBR,8,-0.007177033367152662,-0.18034219121960168
HOOD,12,-0.006518983878288475,-0.0598232571148091
U,10,-0.006277773811172986,-0.06513642570694063
ON,10,-0.0060948468967087135,-0.04527431994843911
NET,7,-0.004720691754749161,-0.025035940485892538
LUMN,9,-0.004302659900012193,-0.0881554644045482
QBTS,12,-0.0041312755509503194,-0.1849475022857026
KTOS,13,-0.004084218842817613,-0.04935479933215726
GLD,2,-0.0040591768675092834,-0.004302775875664011
V,5,-0.003504019586363144,-0.01488264767682961
GOOG,7,-0.0032582766277369857,-0.021430151080934212
FI,8,-0.0027377666156978473,-0.010961619579490281
APP,9,-0.002094117021856348,-0.03497382382167643
SIVR,5,-0.0018600197332054598,-0.005970888823915775
IONQ,10,-0.0018252716050157682,-0.12354717588415012
VOO,6,-0.0015056469269843185,-0.0055083279927956065
SNOW,7,-0.001437241978971072,-0.011187162057237883
IBM,5,-0.0010460684564857306,-0.007923100056368508
QCOM,8,-0.0006217707718414092,-0.03784483249685673
MGK,7,7.771765455973426e-05,-0.00708998965886987
IREN,12,0.00045989356234758745,-0.08389058543719011
UBER,8,0.0005270521450625697,-0.04160024063497771
DDOG,9,0.0013798913067051505,-0.027798539568731382
TSM,9,0.0017333096424563827,-0.015876795485811092
ABNB,6,0.0017667455978444943,-0.01173911716627038
FUBO,10,0.001885937801593163,-0.025537641903116047
AMZN,7,0.002185274154640977,-0.014186504337157723
NVO,7,0.002196079033302378,-0.003664905536976567
LRCX,9,0.00274566443603204,-0.01989458527208685
MRVL,9,0.00303787593323794,-0.030378692009113438
MSFT,6,0.00315968077880166,-0.00950713832728853
GLW,6,0.0036470638340496317,-0.008462146262461681
SHOP,9,0.004100336377244356,-0.021972942221334484
AMD,8,0.005064722727885061,-0.03740485329448781
CEG,11,0.005855171305139573,-0.04033330281575521
GRAB,9,0.006209996939668714,-0.020033450247334408
ORCL,8,0.006602892953373822,-0.03133573809523323
DUOL,6,0.006901047239806837,-0.03587803275510097
ACHR,12,0.007505027399190951,-0.053674697822653585
SPOT,4,0.00801422342695883,-0.012663239782550854
ABAT,8,0.008504360198460868,-0.16708862730715995
CCJ,6,0.008863545128161772,-0.024000040690104165
BE,10,0.00923853832785857,-0.037078973340739826
CELH,6,0.009649721660637704,-0.045549910291166465
UNH,3,0.010442060108305418,0.005750941360376938
NLR,10,0.011922333924729609,-0.011869097219803589
UAMY,5,0.012162801141993107,-0.1368278584051332
STX,8,0.012244935469506618,-0.018579568464803655
ANET,9,0.012362035345765281,-0.021361058365448275
UUUU,6,0.01245369648403829,-0.046204655520165214
WWR,6,0.012993181493955596,-0.13968471828214046
BRK-B,4,0.013580127904644801,0.0027495705699741055
OKLO,9,0.01778192867230155,-0.08234173738503758
MU,9,0.018427530883870308,-0.010115876107169984
EOSE,8,0.01957554538087409,-0.12850152076074722
SMR,11,0.02175234147505021,-0.07528684307817987
LEU,9,0.034743218176615166,-0.0014388569619699866
